Re                            | Brutos
followed: 25                  | beside: 23
led: 25                       | don’t: 23
married: 25                   | sprang: 23
photograph: 25                | followed: 23
heart: 25                     | “that: 22
square: 25                    | sound: 22
quick: 25                     | day,: 22
terms: 25                     | “Your: 22
beside: 25                    | face.: 22
began: 25                     | interest: 22
windows: 25                   | known: 22
fact: 25                      | letter: 22
foundation: 25                | carried: 22
chance: 25                    | men: 22
steps: 25                     | o’clock: 22
bell: 25                      | struck: 22
bird: 24                      | “‘I: 22
headed: 24                    | hurried: 22
next: 24                      | “A: 22
nature: 24                    | terms: 22
public: 24                    | glanced: 22
silence: 24                   | Simon: 22
likely: 24                    | rose: 22
cases: 24                     | above: 22
because: 24                   | country: 22
ready: 24                     | “How: 21
struck: 24                    | six: 21
started: 24                   | lost: 21
step: 24                      | people: 21
twenty: 24                    | entered: 21
attention: 24                 | hard: 21
grey: 24                      | whose: 21
eye: 24                       | person: 21
breakfast: 23                 | deep: 21
written: 23                   | started: 21
town: 23                      | King: 21
daughter: 23                  | else: 21
bring: 23                     | McCarthy: 21
pocket: 23                    | house.: 21
ground: 23                    | said,: 21
hosmer: 23                    | instant: 21
happened: 23                  | Lestrade: 21
poor: 23                      | bring: 21
sort: 23                      | standing: 21
arthur: 23                    | story: 20
whose: 23                     | Now: 20
passage: 23                   | Hosmer: 20
lane: 23                      | fear: 20
considerable: 23              | forward: 20
glancing: 23                  | drawn: 20
standing: 23                  | indeed: 20
mother: 23                    | night,: 20
sprang: 23                    | blue: 20
idea: 23                      | sent: 20
position: 22                  | So: 20
kind: 22                      | Your: 20
glanced: 22                   | written: 20
short: 22                     | seeing: 20
wedding: 22                   | short: 20
cause: 22                     | ‘I: 20
need: 22                      | doing: 20
city: 22                      | family: 20
carriage: 22                  | likely: 20
turner: 22                    | remember: 20
seeing: 22                    | grey: 20
closed: 22                    | reason: 20
important: 22                 | closed: 20
return: 22                    | red: 20
occurred: 22                  | towards: 20
hunter: 22                    | poor: 20
drawn: 22                     | next: 20
maid: 22                      | step: 20
mary: 22                      | easy: 20
ha: 22                        | London: 20
high: 22                      | Street: 20
hurried: 22                   | caught: 20
wilson: 22                    | almost: 20
clothes: 22                   | showed: 19
carried: 22                   | “Pray: 19
mystery: 22                   | table: 19
cold: 22                      | rooms: 19
observed: 22                  | stone: 19
means: 22                     | answered.: 19
remarkable: 21                | us,: 19
train: 21                     | evening: 19
stepfather: 21                | see,: 19
angel: 21                     | true: 19
points: 21                    | peculiar: 19
interesting: 21               | OF: 19
boy: 21                       | “They: 19
sight: 21                     | “In: 19
sent: 21                      | Street,: 19
character: 21                 | shown: 19
roylott: 21                   | Watson,”: 19
k: 21                         | How: 19
body: 21                      | steps: 19
order: 21                     | need: 19
quiet: 21                     | spoke: 19
doing: 21                     | case,: 19
drive: 21                     | all.: 19
james: 21                     | reached: 19
child: 21                     | John: 19
afraid: 21                    | Neville: 18
thin: 21                      | placed: 18
problem: 21                   | daughter: 18
danger: 21                    | eye: 18
everything: 20                | sight: 18
copyright: 20                 | idea: 18
earth: 20                     | matter,: 18
account: 20                   | return: 18
ourselves: 20                 | talk: 18
caught: 20                    | note: 18
almost: 20                    | “Not: 18
license: 20                   | order: 18
speak: 20                     | “Very: 18
advertisement: 20             | All: 18
experience: 20                | afraid: 18
towards: 20                   | cause: 18
safe: 20                      | are,: 18
mean: 20                      | manner: 18
fresh: 20                     | feet: 18
laughed: 20                   | that.: 18
talk: 20                      | single: 18
secret: 20                    | Do: 18
hours: 20                     | speak: 18
windibank: 20                 | present: 18
england: 20                   | “If: 18
fashion: 20                   | extraordinary: 18
matters: 20                   | ready: 18
others: 20                    | copyright: 18
opinion: 20                   | hundred: 18
shown: 20                     | account: 18
quietly: 20                   | you,”: 17
frank: 20                     | I’ll: 17
voice: 20                     | way,: 17
showed: 20                    | chance: 17
close: 20                     | remarked,: 17
peculiar: 20                  | remarkable: 17
line: 19                      | cold: 17
placed: 19                    | meet: 17
direction: 19                 | body: 17
received: 19                  | windows: 17
slowly: 19                    | sign: 17
neville: 19                   | quiet: 17
rest: 19                      | Here: 17
law: 19                       | By: 17
dead: 19                      | pulled: 17
court: 19                     | past: 17
suppose: 19                   | bed: 17
extraordinary: 19             | matter.: 17
hundred: 19                   | know,: 17
details: 19                   | feel: 17
silent: 19                    | understand,: 17
someone: 19                   | James: 17
entirely: 19                  | client: 17
figure: 19                    | cab: 17
single: 19                    | close: 17
colour: 19                    | none: 17
adventure: 19                 | hand.: 17
wait: 19                      | “When: 17
stoner: 19                    | seem: 17
box: 19                       | To: 17
hall: 19                      | Holmes’: 17
simple: 19                    | charge: 17
lodge: 19                     | Well,: 17
finally: 19                   | drew: 17
advice: 19                    | surprised: 16
uncle: 19                     | glad: 16
charge: 19                    | do,: 16
reached: 19                   | received: 16
excellent: 19                 | love: 16
effect: 19                    | sudden: 16
finger: 19                    | nor: 16
pool: 19                      | United: 16
sign: 19                      | happy: 16
observe: 19                   | fresh: 16
pipe: 19                      | change: 16
pay: 18                       | making: 16
water: 18                     | cried.: 16
locked: 18                    | dreadful: 16
meet: 18                      | cried,: 16
low: 18                       | train: 16
afterwards: 18                | state: 16
love: 18                      | shook: 16
yours: 18                     | marriage: 16
fell: 18                      | you?”: 16
serious: 18                   | crime: 16
state: 18                     | married: 16
remained: 18                  | dropped: 16
laughing: 18                  | letters: 16
company: 18                   | along: 16
bright: 18                    | public: 16
garden: 18                    | in,: 16
nor: 18                       | side.: 16
listened: 18                  | following: 16
along: 18                     | too,: 16
gold: 18                      | effect: 16
appears: 18                   | points: 16
majesty: 18                   | late: 16
united: 18                    | air: 16
happy: 18                     | him.”: 16
hatherley: 18                 | show: 16
won: 18                       | Of: 16
itself: 18                    | fellow: 16
lips: 18                      | fire: 16
coroner: 18                   | there.: 16
morrow: 18                    | remained: 16
agreement: 18                 | slowly: 16
glad: 18                      | turning: 15
bedroom: 18                   | won’t: 15
afternoon: 17                 | lamp: 15
wooden: 17                    | wooden: 15
sit: 17                       | feeling: 15
evidence: 17                  | entirely: 15
making: 17                    | impression: 15
surprised: 17                 | sitting: 15
feeling: 17                   | fact: 15
miles: 17                     | “Thank: 15
instantly: 17                 | Oh,: 15
glance: 17                    | goose: 15
drew: 17                      | again,: 15
change: 17                    | Street.: 15
innocent: 17                  | taking: 15
thumb: 17                     | Mary: 15
dreadful: 17                  | here,: 15
irene: 17                     | attention: 15
pulled: 17                    | position: 15
geese: 17                     | year: 15
machine: 17                   | appears: 15
ring: 17                      | caused: 15
feel: 17                      | again.: 15
weeks: 17                     | afterwards: 15
seem: 17                      | laughed: 15
boots: 17                     | imagine: 15
news: 17                      | Our: 15
certain: 17                   | well.: 15
world: 17                     | cases: 15
league: 17                    | means: 15
taking: 16                    | silence: 15
following: 16                 | glance: 15
pale: 16                      | dress: 15
whatever: 16                  | quick: 15
free: 16                      | observed: 15
explain: 16                   | Let: 15
adler: 16                     | ourselves: 15
double: 16                    | didn’t: 15
dressing: 16                  | open,: 15
claim: 16                     | “Do: 15
